,aX,aY,aZ,gX,gY,gZ
453,-9.002,-1.097,1.973,0.173,0.406,0.411
454,-8.945,-1.053,1.958,0.179,0.398,0.401
455,-8.868,-0.996,1.939,0.188,0.391,0.385
456,-8.815,-0.953,1.935,0.195,0.39,0.371
457,-8.763,-0.91,1.906,0.201,0.39,0.357
458,-8.71,-0.848,1.877,0.207,0.393,0.336
459,-8.681,-0.8,1.839,0.209,0.397,0.319
460,-8.667,-0.747,1.815,0.21,0.402,0.302
461,-8.638,-0.69,1.781,0.207,0.411,0.28
462,-8.638,-0.642,1.767,0.201,0.419,0.264
463,-8.638,-0.599,1.748,0.194,0.427,0.248
464,-8.653,-0.536,1.724,0.18,0.438,0.227
465,-8.667,-0.493,1.705,0.168,0.447,0.212
466,-8.691,-0.455,1.7,0.153,0.455,0.199
467,-8.729,-0.412,1.69,0.133,0.466,0.181
468,-8.748,-0.378,1.676,0.117,0.474,0.168
469,-8.777,-0.359,1.681,0.099,0.48,0.157
470,-8.787,-0.34,1.681,0.077,0.485,0.141
